model_name,n_folds,fold_number,f1_score,training_time
LightGBM,2,1,0.8535626535626536,2.2782740592956543
LightGBM,2,2,0.8469289827255279,2.2782740592956543
Bagging,2,1,0.8490056469432851,2.157536745071411
Bagging,2,2,0.8424890617403986,2.157536745071411
XGBoost,2,1,0.8584049079754601,1.6891896724700928
XGBoost,2,2,0.8444337581149315,1.6891896724700928
MLP,2,1,0.8291064233230624,2.407547950744629
MLP,2,2,0.8158253751705321,2.407547950744629
DecisionTree,2,1,0.803869407496977,1.175565242767334
DecisionTree,2,2,0.7931363203050524,1.175565242767334
KNN,2,1,0.8050284629981025,1.2284436225891113
KNN,2,2,0.8063462435837611,1.2284436225891113
QDA,2,1,0.791559202813599,1.1237595081329346
QDA,2,2,0.779020979020979,1.1237595081329346
LDA,2,1,0.7828318171215302,1.1135241985321045
LDA,2,2,0.7665585919407133,1.1135241985321045
NaiveBayes,2,1,0.7788853647485274,0.12506842613220215
NaiveBayes,2,2,0.7653985507246377,0.12506842613220215
SGD,2,1,0.7850089766606823,0.16869020462036133
SGD,2,2,0.7699814126394052,0.16869020462036133
ExtraTrees,2,1,0.8517796196977084,0.37393879890441895
ExtraTrees,2,2,0.8425367735712563,0.37393879890441895
GradientBoosting,2,1,0.8631882664101947,1.5325520038604736
GradientBoosting,2,2,0.8442857142857143,1.5325520038604736
RandomForest,2,1,0.8533007334963325,0.37929701805114746
RandomForest,2,2,0.8425655976676385,0.37929701805114746
LogisticRegression,2,1,0.7841676367869616,0.13631987571716309
LogisticRegression,2,2,0.7700934579439253,0.13631987571716309
SVC,2,1,0.8225024248302619,2.6324636936187744
SVC,2,2,0.8020062096966802,2.6324636936187744
AdaBoost,2,1,0.8476281744130331,0.7970006465911865
AdaBoost,2,2,0.8358138436097331,0.7970006465911865
SuperEnsemble,2,1,0.8583252190847127,21.373517274856567
SuperEnsemble,2,2,0.8451581975071908,21.373517274856567
LightGBM,3,1,0.8618006669136717,0.6658675670623779
LightGBM,3,2,0.8611510791366906,0.6658675670623779
LightGBM,3,3,0.841913106973348,0.6658675670623779
Bagging,3,1,0.8534514581026209,1.8509323596954346
Bagging,3,2,0.853940708604483,1.8509323596954346
Bagging,3,3,0.839017235056839,1.8509323596954346
XGBoost,3,1,0.8614814814814815,0.8759534358978271
XGBoost,3,2,0.8619576909286483,0.8759534358978271
XGBoost,3,3,0.843829632326174,0.8759534358978271
MLP,3,1,0.8287822878228782,1.8392324447631836
MLP,3,2,0.8195675292449486,1.8392324447631836
MLP,3,3,0.8185078909612625,1.8392324447631836
DecisionTree,3,1,0.8216216216216217,0.13678288459777832
DecisionTree,3,2,0.8170028818443804,0.13678288459777832
DecisionTree,3,3,0.8103326256192498,0.13678288459777832
KNN,3,1,0.8210601209533974,0.24591493606567383
KNN,3,2,0.8212927756653993,0.24591493606567383
KNN,3,3,0.8214159915463192,0.24591493606567383
QDA,3,1,0.7903055848261328,0.1250314712524414
QDA,3,2,0.7724089635854342,0.1250314712524414
QDA,3,3,0.7847124824684432,0.1250314712524414
LDA,3,1,0.7858394672274799,0.12444663047790527
LDA,3,2,0.7693905817174516,0.12444663047790527
LDA,3,3,0.7671902268760907,0.12444663047790527
NaiveBayes,3,1,0.7836456558773425,0.12484526634216309
NaiveBayes,3,2,0.7655566767574841,0.12484526634216309
NaiveBayes,3,3,0.7671326287078077,0.12484526634216309
SGD,3,1,0.7767341040462428,0.14667963981628418
SGD,3,2,0.770914225202965,0.14667963981628418
SGD,3,3,0.7722980062959076,0.14667963981628418
ExtraTrees,3,1,0.8535779816513761,0.339113712310791
ExtraTrees,3,2,0.8547129695251595,0.339113712310791
ExtraTrees,3,3,0.8465723612622416,0.339113712310791
GradientBoosting,3,1,0.8609898107714702,1.899261236190796
GradientBoosting,3,2,0.8586685653257387,1.899261236190796
GradientBoosting,3,3,0.8437047756874095,1.899261236190796
RandomForest,3,1,0.850422638735759,0.5779125690460205
RandomForest,3,2,0.8583690987124464,0.5779125690460205
RandomForest,3,3,0.8419519300801165,0.5779125690460205
LogisticRegression,3,1,0.7854392719635982,0.13726449012756348
LogisticRegression,3,2,0.7709923664122137,0.13726449012756348
LogisticRegression,3,3,0.7706357569371268,0.13726449012756348
SVC,3,1,0.8278867102396514,4.500845909118652
