model_name,n_folds,f1_mean,f1_std,f1_min,f1_max,fold_count,cv_range,stability
AdaBoost,2,0.8417210090113831,0.008353993426194556,0.8358138436097331,0.8476281744130331,2,0.011814330803299966,Very Stable
AdaBoost,3,0.8375491533992042,0.010059593722450678,0.8306394940267041,0.8490902604352479,3,0.018450766408543817,Very Stable
AdaBoost,4,0.8415931023201767,0.009339262470185376,0.8345864661654135,0.8550863723608445,4,0.02049990619543096,Very Stable
AdaBoost,5,0.8399240957139755,0.010653619138152475,0.8235294117647058,0.8521634615384616,5,0.02863404977375572,Very Stable
Bagging,2,0.8457473543418419,0.004607921587140961,0.8424890617403986,0.8490056469432851,2,0.006516585202886449,Very Stable
Bagging,3,0.8488031339213142,0.008478366821074541,0.839017235056839,0.853940708604483,3,0.014923473547644006,Very Stable
Bagging,4,0.8523734207662971,0.00837158175666295,0.8435835351089589,0.861900097943193,4,0.018316562834234107,Very Stable
Bagging,5,0.8512668295659103,0.006650231932738117,0.8414043583535109,0.8571428571428571,5,0.01573849878934619,Very Stable
DecisionTree,2,0.7985028639010148,0.007589438736476376,0.7931363203050524,0.803869407496977,2,0.010733087191924562,Very Stable
DecisionTree,3,0.8163190430284173,0.005675480977860417,0.8103326256192498,0.8216216216216217,3,0.011288996002371876,Very Stable
DecisionTree,4,0.8216610596228229,0.006085960324921655,0.8140900195694716,0.828941063727839,4,0.014851044158367466,Very Stable
DecisionTree,5,0.8140892238577729,0.008915066243313402,0.7990401919616077,0.821917808219178,5,0.022877616257570343,Very Stable
ExtraTrees,2,0.8471581966344823,0.006535679173478052,0.8425367735712563,0.8517796196977084,2,0.009242846126452098,Very Stable
ExtraTrees,3,0.851621104146259,0.0044090138239856694,0.8465723612622416,0.8547129695251595,3,0.008140608262917959,Very Stable
ExtraTrees,4,0.8563586465430335,0.0075492809579535336,0.8494208494208494,0.8660496833901608,4,0.016628833969311363,Very Stable
ExtraTrees,5,0.8558047021733971,0.008324405758661594,0.8479041916167664,0.868564506359782,5,0.02066031474301555,Very Stable
GradientBoosting,2,0.8537369903479546,0.01336612278895234,0.8442857142857143,0.8631882664101947,2,0.018902552124480443,Very Stable
GradientBoosting,3,0.8544543839282062,0.009381503243232616,0.8437047756874095,0.8609898107714702,3,0.01728503508406065,Very Stable
GradientBoosting,4,0.8554620488410762,0.008547189735124352,0.8448687350835322,0.8647859922178989,4,0.01991725713436665,Very Stable
GradientBoosting,5,0.8551683622773334,0.007282955540185887,0.843937575030012,0.8622540250447227,5,0.018316450014710717,Very Stable
KNN,2,0.8056873532909318,0.0009318115882351533,0.8050284629981025,0.8063462435837611,2,0.0013177805856585678,Very Stable
KNN,3,0.8212562960550386,0.000180718126389269,0.8210601209533974,0.8214159915463192,3,0.0003558705929217476,Very Stable
KNN,4,0.8241450370039566,0.005294641207317991,0.8189855746859004,0.8296780214652356,4,0.01069244677933523,Very Stable
KNN,5,0.8230441051606311,0.00715864049236148,0.8175438596491228,0.8355763604447045,5,0.01803250079558172,Very Stable
LDA,2,0.7746952045311217,0.011506907877131285,0.7665585919407133,0.7828318171215302,2,0.016273225180816864,Very Stable
LDA,3,0.7741400919403407,0.010191512495158287,0.7671902268760907,0.7858394672274799,3,0.01864924035138915,Very Stable
LDA,4,0.7743856761819341,0.012740861683448167,0.7644608977325312,0.7930549038010324,4,0.028594006068501154,Very Stable
LDA,5,0.7757195231139911,0.010557027639512587,0.7641234711706465,0.7884841363102233,5,0.024360665139576798,Very Stable
LightGBM,2,0.8502458181440907,0.004690713633091051,0.8469289827255279,0.8535626535626536,2,0.006633670837125738,Very Stable
LightGBM,3,0.8549549510079034,0.011299237272323057,0.841913106973348,0.8618006669136717,3,0.019887559940323762,Very Stable
LightGBM,4,0.8561693666159838,0.009417034632356413,0.8508341511285574,0.8702516033547114,4,0.019417452226153986,Very Stable
LightGBM,5,0.8543212142933869,0.012623889998124225,0.8374622356495468,0.8682266009852216,5,0.030764365335674837,Very Stable
LogisticRegression,2,0.7771305473654434,0.009951947299543205,0.7700934579439253,0.7841676367869616,2,0.0140741788430363,Very Stable
LogisticRegression,3,0.7756891317709796,0.008445751471078115,0.7706357569371268,0.7854392719635982,3,0.01480351502647137,Very Stable
LogisticRegression,4,0.7758104073806659,0.011879565875621532,0.7694444444444445,0.7936060178655383,4,0.024161573421093818,Very Stable
LogisticRegression,5,0.7769373009965281,0.007994683040166824,0.7690517742873764,0.7891317188422918,5,0.020079944554915463,Very Stable
MLP,2,0.8224658992467972,0.009391119209919233,0.8158253751705321,0.8291064233230624,2,0.013281048152530284,Very Stable
MLP,3,0.822285902676363,0.005650926764873172,0.8185078909612625,0.8287822878228782,3,0.010274396861615687,Very Stable
MLP,4,0.8345033977537304,0.009281941120277555,0.8264223722275795,0.8477842003853564,4,0.021361828157776874,Very Stable
MLP,5,0.8236392370958041,0.011143817097770844,0.8081936685288641,0.8390596745027125,5,0.030866005973848365,Very Stable
NaiveBayes,2,0.7721419577365826,0.00953661765289426,0.7653985507246377,0.7788853647485274,2,0.013486814023889737,Very Stable
NaiveBayes,3,0.7721116537808781,0.010019770925942657,0.7655566767574841,0.7836456558773425,3,0.018088979119858406,Very Stable
NaiveBayes,4,0.7719010630696637,0.013242911125608827,0.7584670231729055,0.789641072239891,4,0.03117404906698551,Very Stable
NaiveBayes,5,0.771481285146559,0.015587049908360935,0.7546322290847838,0.7926898914905768,5,0.038057662405793,Very Stable
QDA,2,0.7852900909172891,0.008865863067796182,0.779020979020979,0.791559202813599,2,0.01253822379262004,Very Stable
QDA,3,0.7824756769600034,0.00915558502337211,0.7724089635854342,0.7903055848261328,3,0.017896621240698574,Very Stable
QDA,4,0.7852196372984475,0.013160644572659554,0.7735062528948587,0.8030089327691584,4,0.029502679874299664,Very Stable
QDA,5,0.784367906574307,0.0094479049888672,0.7740046838407494,0.7985865724381626,5,0.02458188859741317,Very Stable
RandomForest,2,0.8479331655819855,0.007590887341428201,0.8425655976676385,0.8533007334963325,2,0.010735135828694009,Very Stable
