model_name,metric_type,metric_value,rank,best_n_folds
ExtraTrees,PRECISION,0.8508604206500956,1,4
ExtraTrees,RECALL,0.861568247821878,1,4
ExtraTrees,F1,0.8561808561808562,1,4
ExtraTrees,AUC,0.9260061719313009,1,4
ExtraTrees,TEST ACCURACY,0.8552758954501453,1,4
ExtraTrees,CV MEAN,0.8563586465430335,1,4
LightGBM,PRECISION,0.8549323017408124,2,4
LightGBM,RECALL,0.8557599225556631,2,4
LightGBM,F1,0.8553459119496856,2,4
LightGBM,AUC,0.9352509490773496,2,4
LightGBM,TEST ACCURACY,0.8552758954501453,2,4
LightGBM,CV MEAN,0.8561693666159836,2,4
GradientBoosting,PRECISION,0.8424528301886792,3,4
GradientBoosting,RECALL,0.8644724104549855,3,4
GradientBoosting,F1,0.8533205924510272,3,4
GradientBoosting,AUC,0.9320937616262559,3,4
GradientBoosting,TEST ACCURACY,0.851403678606002,3,4
GradientBoosting,CV MEAN,0.8554620488410762,3,4
SuperEnsemble,PRECISION,0.8418560606060606,4,3
SuperEnsemble,RECALL,0.8606001936108422,4,3
SuperEnsemble,F1,0.8511249401627573,4,3
SuperEnsemble,AUC,0.9360259547235517,4,3
SuperEnsemble,TEST ACCURACY,0.8494675701839303,4,3
SuperEnsemble,CV MEAN,0.8564513672628385,4,3
XGBoost,PRECISION,0.8446139180171592,5,4
XGBoost,RECALL,0.8576960309777347,5,4
XGBoost,F1,0.851104707012488,5,4
XGBoost,AUC,0.9363989320478423,5,4
XGBoost,TEST ACCURACY,0.8499515972894482,5,4
XGBoost,CV MEAN,0.8559117985672196,5,4
Bagging,PRECISION,0.8516003879728419,6,4
Bagging,RECALL,0.8499515972894482,6,4
Bagging,F1,0.8507751937984496,6,4
Bagging,AUC,0.9298971313545545,6,4
Bagging,TEST ACCURACY,0.850919651500484,6,4
Bagging,CV MEAN,0.8523734207662972,6,4
RandomForest,PRECISION,0.8479307025986526,7,5
RandomForest,RECALL,0.8528557599225557,7,5
RandomForest,F1,0.8503861003861004,7,5
RandomForest,AUC,0.9271012071158076,7,5
RandomForest,TEST ACCURACY,0.8499515972894482,7,5
RandomForest,CV MEAN,0.851213352094015,7,5
AdaBoost,PRECISION,0.8099547511312217,8,2
AdaBoost,RECALL,0.8664085188770572,8,2
AdaBoost,F1,0.8372310570626754,8,2
AdaBoost,AUC,0.9178601784855809,8,2
AdaBoost,TEST ACCURACY,0.8315585672797676,8,2
AdaBoost,CV MEAN,0.8417210090113831,8,2
MLP,PRECISION,0.8014311270125224,9,4
MLP,RECALL,0.8673765730880929,9,4
MLP,F1,0.8331008833100884,9,4
MLP,AUC,0.9078984976885714,9,4
MLP,TEST ACCURACY,0.8262342691190707,9,4
MLP,CV MEAN,0.8345033977537304,9,4
KNN,PRECISION,0.8025594149908593,10,4
KNN,RECALL,0.8499515972894482,10,4
KNN,F1,0.8255759285378468,10,4
KNN,AUC,0.8963029325576405,10,4
KNN,TEST ACCURACY,0.8204259438528557,10,4
KNN,CV MEAN,0.8241450370039565,10,4
DecisionTree,PRECISION,0.8185328185328186,11,4
DecisionTree,RECALL,0.8209099709583737,11,4
DecisionTree,F1,0.8197196713388111,11,4
DecisionTree,AUC,0.8898259657816732,11,4
DecisionTree,TEST ACCURACY,0.81945788964182,11,4
DecisionTree,CV MEAN,0.8216610596228229,11,4
SVC,PRECISION,0.8075471698113208,12,4
SVC,RECALL,0.8286544046466602,12,4
SVC,F1,0.8179646440516005,12,4
SVC,AUC,0.898356650663628,12,4
SVC,TEST ACCURACY,0.8155856727976767,12,4
SVC,CV MEAN,0.8197002909220801,12,4
QDA,PRECISION,0.7528786536758193,13,2
QDA,RECALL,0.8228460793804453,13,2
QDA,F1,0.786308973172988,13,2
QDA,AUC,0.8504515555872098,13,2
QDA,TEST ACCURACY,0.7763794772507261,13,2
QDA,CV MEAN,0.7852900909172891,13,2
LogisticRegression,PRECISION,0.734253666954271,14,2
LogisticRegression,RECALL,0.8238141335914811,14,2
LogisticRegression,F1,0.7764598540145985,14,2
LogisticRegression,AUC,0.8423941208277849,14,2
LogisticRegression,TEST ACCURACY,0.7628267182962246,14,2
LogisticRegression,CV MEAN,0.7771305473654434,14,2
NaiveBayes,PRECISION,0.7184145334434352,15,2
NaiveBayes,RECALL,0.8422071636011617,15,2
NaiveBayes,F1,0.7754010695187166,15,2
NaiveBayes,AUC,0.8365211336636401,15,2
NaiveBayes,TEST ACCURACY,0.7560503388189739,15,2
NaiveBayes,CV MEAN,0.7721419577365826,15,2
SGD,PRECISION,0.7294520547945206,16,2
SGD,RECALL,0.8247821878025169,16,2
SGD,F1,0.7741935483870968,16,2
SGD,AUC,0.8416528518239809,16,2
SGD,TEST ACCURACY,0.7594385285575992,16,2
SGD,CV MEAN,0.7774951946500437,16,2
LDA,PRECISION,0.7326388888888888,17,5
LDA,RECALL,0.8170377541142304,17,5
LDA,F1,0.7725400457665904,17,5
LDA,AUC,0.8413051769814889,17,5
LDA,TEST ACCURACY,0.7594385285575992,17,5
LDA,CV MEAN,0.7757195231139911,17,5
