model_name,metric_type,value,category,best_n_folds
ExtraTrees,True Negative,877,Correct,4
ExtraTrees,True Positive,890,Correct,4
ExtraTrees,False Positive,156,Error,4
ExtraTrees,False Negative,143,Error,4
LightGBM,True Negative,883,Correct,4
LightGBM,True Positive,884,Correct,4
LightGBM,False Positive,150,Error,4
LightGBM,False Negative,149,Error,4
GradientBoosting,True Negative,866,Correct,4
GradientBoosting,True Positive,893,Correct,4
GradientBoosting,False Positive,167,Error,4
GradientBoosting,False Negative,140,Error,4
SuperEnsemble,True Negative,866,Correct,3
SuperEnsemble,True Positive,889,Correct,3
SuperEnsemble,False Positive,167,Error,3
SuperEnsemble,False Negative,144,Error,3
XGBoost,True Negative,870,Correct,4
XGBoost,True Positive,886,Correct,4
XGBoost,False Positive,163,Error,4
XGBoost,False Negative,147,Error,4
Bagging,True Negative,880,Correct,4
Bagging,True Positive,878,Correct,4
Bagging,False Positive,153,Error,4
Bagging,False Negative,155,Error,4
RandomForest,True Negative,875,Correct,5
RandomForest,True Positive,881,Correct,5
RandomForest,False Positive,158,Error,5
RandomForest,False Negative,152,Error,5
AdaBoost,True Negative,823,Correct,2
AdaBoost,True Positive,895,Correct,2
AdaBoost,False Positive,210,Error,2
AdaBoost,False Negative,138,Error,2
MLP,True Negative,811,Correct,4
MLP,True Positive,896,Correct,4
MLP,False Positive,222,Error,4
MLP,False Negative,137,Error,4
KNN,True Negative,817,Correct,4
KNN,True Positive,878,Correct,4
KNN,False Positive,216,Error,4
KNN,False Negative,155,Error,4
DecisionTree,True Negative,845,Correct,4
DecisionTree,True Positive,848,Correct,4
DecisionTree,False Positive,188,Error,4
DecisionTree,False Negative,185,Error,4
SVC,True Negative,829,Correct,4
SVC,True Positive,856,Correct,4
SVC,False Positive,204,Error,4
SVC,False Negative,177,Error,4
QDA,True Negative,754,Correct,2
QDA,True Positive,850,Correct,2
QDA,False Positive,279,Error,2
QDA,False Negative,183,Error,2
LogisticRegression,True Negative,725,Correct,2
LogisticRegression,True Positive,851,Correct,2
LogisticRegression,False Positive,308,Error,2
LogisticRegression,False Negative,182,Error,2
NaiveBayes,True Negative,692,Correct,2
NaiveBayes,True Positive,870,Correct,2
NaiveBayes,False Positive,341,Error,2
NaiveBayes,False Negative,163,Error,2
SGD,True Negative,717,Correct,2
SGD,True Positive,852,Correct,2
SGD,False Positive,316,Error,2
SGD,False Negative,181,Error,2
LDA,True Negative,725,Correct,5
LDA,True Positive,844,Correct,5
LDA,False Positive,308,Error,5
LDA,False Negative,189,Error,5
